iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
19,1.2507612705230713,-20.27578709083522,0.2084823412293173,-19.901830898103434,-20.959040740934018,2.046966702535914,0.1,0.005140781402587891,0.10514211654663086,0.059198212,0.039551042,-33.73807023343728,12000,0.9369163513183594,0.010093006675499953,0.00035052529659633183
20,1.312190055847168,-18.76690748212096,0.16580286899907,-18.57659588900108,-19.2688785125956,1.6106263244605548,0.1,0.006940126419067383,0.135664701461792,0.058598943,0.049956415,-32.240953958305646,12000,0.8583147525787354,0.007082170096159479,0.00021201599447559171
21,1.2931060791015625,-17.785673936805523,0.11170491312147739,-17.57449723858733,-17.981466511147172,1.772320582326558,0.1,0.0059604644775390625,0.10942721366882324,0.058754403,0.043789115,-30.795425956155636,12000,0.8777122497558594,0.003527567734761179,0.00010193577465425119
22,1.2235543727874756,-17.23576367642575,0.06630238914738715,-17.083257475759762,-17.338580213820293,2.2289004922933886,0.1,0.005570173263549805,0.10905981063842773,0.057831466,0.03430262,-29.439459728182648,12000,0.865830659866333,0.0011000203247849441,5.1000507867392095e-05
23,1.1814570426940918,-16.933280550787988,0.03897164054605993,-16.858804985755274,-17.03356883454415,3.446113837013859,0.1,0.0046291351318359375,0.10470461845397949,0.05750271,0.021219546,-28.188841810443183,12000,0.9336156845092773,0.00033192298412452597,3.3275033707568694e-05
24,1.1778087615966797,-16.758745791802244,0.028733999932655078,-16.714842512615185,-16.82085937659404,5.340427328310642,0.1,0.005601167678833008,0.12017130851745605,0.05098704,0.014623104,-27.04583220857909,12000,0.9633779525756836,0.0001091322128869374,2.102083948612206e-05
25,1.1843140125274658,-16.6758556120343,0.018918937141334784,-16.64683221829595,-16.71672820170469,6.859470495512369,0.1,0.004748106002807617,0.10710024833679199,396.5406,6.3578287e-10,-26.00883454892461,12000,0.960430383682251,3.8771253788077696e-05,1.8779650748759947e-05
26,1.2125859260559082,-193.04822111635977,0.8046095517112931,-191.39571630162408,-194.86058977751827,9.0512361194549,0.1,0.0048885345458984375,0.10846471786499023,0.051686116,0.00995434,-42.71277320566813,12000,0.9627978801727295,0.8346997451724412,6.394978021018081e-05
27,1.1775281429290771,-189.28131790620503,0.7125853932297986,-187.7482555306742,-190.84786676839974,2.5416258225744137,0.1,0.005582571029663086,0.10944890975952148,0.05727432,0.03672191,-57.36962767572182,12000,0.930269718170166,0.0004770039191849624,3.236132864435797e-05
28,1.1983542442321777,-184.26094144313274,0.646719619682443,-183.21783246690944,-185.6933747047529,1.4571891478665449,0.1,0.006354093551635742,0.1388721466064453,0.055594057,0.06452532,-70.05875905246292,12000,0.9041554927825928,0.0007631834689471247,2.919650256106146e-05
